# timestamp_utc=2026-06-23 08:19:26Z
# command=python tools/run_benchmarks.py --out results/amd_mi300 --repeat-runs 3
# commit=e792634c76626d523249b73b463ffaff32d0ff01
# branch=rlcr/optimize-5-kernels
# describe=baseline-v1-24-ge792634
# baseline_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
# sol_env=(defaults)
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline_solution_ms,baseline_ms_min,baseline_ms_max,candidate_vs_baseline,latency_reduction_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8520,0.1087,0.1071,0.1206,0.1446,0.1445,0.1449,1.330,24.81,17.030,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",27.9713,0.1028,0.1014,0.1039,0.1416,0.1410,0.1416,1.378,27.42,272.111,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",110.4308,0.1408,0.1404,0.1428,0.1818,0.1814,0.1833,1.291,22.55,784.532,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5535,0.1671,0.1648,0.1675,0.1651,0.1645,0.1660,0.988,-1.17,9.299,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",32.3413,0.1742,0.1739,0.1752,0.1741,0.1735,0.1743,0.999,-0.07,185.659,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1873.4703,0.5346,0.5302,0.5382,3.5103,3.5093,3.5107,6.567,84.77,3504.585,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7917,0.2327,0.2308,0.2332,0.8052,0.8033,0.8078,3.460,71.10,3.402,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.3793,0.2446,0.2446,0.2460,0.8261,0.8258,0.8261,3.378,70.39,9.728,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",3.0103,0.2450,0.2447,0.2462,0.8264,0.8260,0.8269,3.374,70.36,12.289,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7260,0.3030,0.3018,0.3055,0.3014,0.2997,0.3019,0.995,-0.54,2.396,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.1919,0.3153,0.3142,0.3163,0.3124,0.3103,0.3139,0.991,-0.90,10.125,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.5162,0.3208,0.3180,0.3214,0.3180,0.3164,0.3184,0.991,-0.87,20.313,PASS,1.0000
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.3046,2.6043,2.5778,2.6425,2.8642,2.8550,2.8674,1.100,9.07,4.341,PASS,0.9912
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.8632,10.5630,10.5423,10.5862,12.7217,12.7205,12.7271,1.204,16.97,1.502,PASS,0.9951
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",30.9645,19.1966,19.1176,19.2045,22.2106,22.2103,22.2368,1.157,13.57,1.613,PASS,0.9942
