# timestamp_utc=2026-06-23 04:40:33Z
# command=python tools/run_benchmarks.py --out results/v2_round10_all --repeat-runs 3
# commit=c15bd55522bd4c9af73429824195c7455400976b
# branch=rlcr/optimize-5-kernels
# describe=baseline-v1-23-gc15bd55
# baseline_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
# sol_env=(defaults)
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline_solution_ms,baseline_ms_min,baseline_ms_max,candidate_vs_baseline,latency_reduction_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8504,0.1069,0.1058,0.1077,0.1479,0.1475,0.1485,1.384,27.73,17.309,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",27.1359,0.1037,0.1026,0.1038,0.1438,0.1422,0.1448,1.387,27.89,261.737,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",107.2617,0.1406,0.1405,0.1427,0.1826,0.1824,0.1838,1.299,23.01,762.885,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5711,0.1659,0.1644,0.1669,0.1655,0.1643,0.1675,0.997,-0.27,9.468,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",31.8044,0.1748,0.1738,0.1752,0.1738,0.1735,0.1743,0.995,-0.53,181.991,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1818.5497,0.5322,0.5209,0.5370,3.4559,3.4490,3.4624,6.493,84.60,3416.978,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7962,0.2318,0.2303,0.2328,0.8051,0.8049,0.8056,3.473,71.20,3.434,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.3982,0.2446,0.2436,0.2456,0.8261,0.8242,0.8270,3.377,70.39,9.805,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",3.0379,0.2458,0.2458,0.2480,0.8270,0.8245,0.8270,3.365,70.28,12.360,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7349,0.2918,0.2902,0.2923,0.3060,0.3056,0.3075,1.049,4.64,2.518,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.2086,0.3066,0.3059,0.3070,0.3230,0.3205,0.3257,1.054,5.09,10.466,FAIL,0.9766
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.4892,0.3075,0.3058,0.3089,0.3260,0.3250,0.3290,1.060,5.70,21.106,FAIL,0.9940
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.3048,2.5913,2.5816,2.5960,2.8716,2.8708,2.8765,1.108,9.76,4.363,PASS,0.9874
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.8157,10.5213,10.5137,10.5234,12.6885,12.6692,12.6964,1.206,17.08,1.503,PASS,0.9954
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",31.1201,19.1278,19.1024,19.1504,22.1756,22.1736,22.2082,1.159,13.74,1.627,PASS,0.9942
