# timestamp_utc=2026-06-22 20:26:01Z
# command=python tools/run_benchmarks.py --out results/v2_round2 --repeat-runs 3
# commit=d3864a93a0c1b27a7c68a332ac4fb94a039d45e3
# branch=rlcr/optimize-5-kernels
# describe=baseline-v1-6-gd3864a9
# baseline_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline_solution_ms,baseline_ms_min,baseline_ms_max,candidate_vs_baseline,latency_reduction_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8419,0.1524,0.1521,0.1530,0.1522,0.1518,0.1527,0.999,-0.12,12.083,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",28.1624,0.1443,0.1436,0.1451,0.1442,0.1438,0.1498,0.999,-0.08,195.127,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",110.9521,0.1828,0.1817,0.1860,0.1810,0.1809,0.1829,0.990,-1.01,606.972,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5794,0.1718,0.1713,0.1745,0.1718,0.1712,0.1738,1.000,0.00,9.192,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",33.0387,0.1762,0.1754,0.1779,0.1766,0.1754,0.1778,1.003,0.27,187.548,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1844.7360,3.4685,3.4482,3.4708,3.4706,3.4694,3.4721,1.001,0.06,531.855,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7923,0.2318,0.2304,0.2337,0.8072,0.8072,0.8089,3.482,71.28,3.418,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.3620,0.2449,0.2449,0.2463,0.8246,0.8238,0.8263,3.367,70.30,9.646,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",2.9780,0.2449,0.2446,0.2474,0.8266,0.8266,0.8268,3.376,70.38,12.162,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7331,0.3047,0.3043,0.3056,0.3046,0.3043,0.3060,1.000,-0.05,2.406,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.1676,0.3208,0.3197,0.3227,0.3205,0.3202,0.3214,0.999,-0.08,9.874,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.3561,0.3194,0.3181,0.3233,0.3187,0.3166,0.3207,0.998,-0.23,19.901,PASS,1.0000
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.3286,2.8547,2.8530,2.8600,2.8449,2.8401,2.8563,0.997,-0.34,3.968,PASS,0.9900
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.4026,12.5840,12.5721,12.5922,12.6056,12.5962,12.6080,1.002,0.17,1.224,PASS,0.9951
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",30.6989,22.1140,22.1041,22.1348,22.1192,22.1133,22.1403,1.000,0.02,1.388,PASS,0.9942
