# timestamp_utc=2026-06-22 20:48:50Z
# command=python tools/run_benchmarks.py --out results/v2_round3 --repeat-runs 3
# commit=b1406fc2d241a691b84dd12bf1f3e7adc82981d7
# branch=rlcr/optimize-5-kernels
# describe=baseline-v1-9-gb1406fc
# baseline_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline_solution_ms,baseline_ms_min,baseline_ms_max,candidate_vs_baseline,latency_reduction_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8484,0.1470,0.1470,0.1482,0.1467,0.1457,0.1469,0.998,-0.19,12.575,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",27.2675,0.1436,0.1421,0.1454,0.1438,0.1433,0.1441,1.002,0.18,189.902,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",106.9555,0.1821,0.1813,0.1884,0.1829,0.1818,0.1830,1.004,0.43,587.364,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5656,0.1656,0.1652,0.1660,0.1673,0.1636,0.1684,1.010,1.01,9.455,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",31.7122,0.1744,0.1742,0.1754,0.1740,0.1739,0.1744,0.998,-0.23,181.839,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1846.7178,3.5642,3.5628,3.5712,3.5629,3.5595,3.5634,1.000,-0.04,518.126,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7996,0.2311,0.2303,0.2321,0.8063,0.8054,0.8067,3.489,71.34,3.460,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.4004,0.2449,0.2438,0.2455,0.8264,0.8252,0.8286,3.375,70.37,9.803,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",3.0526,0.2454,0.2452,0.2477,0.8270,0.8270,0.8281,3.370,70.33,12.439,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7338,0.3051,0.3034,0.3057,0.3045,0.3041,0.3065,0.998,-0.19,2.405,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.2205,0.3248,0.3230,0.3275,0.3262,0.3252,0.3267,1.004,0.43,9.916,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.4682,0.3266,0.3258,0.3285,0.3262,0.3262,0.3304,0.999,-0.13,19.806,PASS,1.0000
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.3479,2.6496,2.6469,2.6541,2.9388,2.9265,2.9392,1.109,9.84,4.283,PASS,0.9874
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.6773,10.4576,10.4555,10.4655,12.6241,12.6191,12.6369,1.207,17.16,1.499,PASS,0.9952
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",30.9660,19.1589,19.1573,19.1613,22.2515,22.2316,22.2773,1.161,13.90,1.616,PASS,0.9942
