# timestamp_utc=2026-06-23 01:19:39Z
# command=python tools/run_benchmarks.py --out results/v2_round9_gdn_prefill --repeat-runs 3
# commit=10d865cb2829c24bed8be1937b61301a25fb5468
# branch=rlcr/optimize-5-kernels
# describe=baseline-v1-21-g10d865c
# baseline_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
# sol_env=(defaults)
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline_solution_ms,baseline_ms_min,baseline_ms_max,candidate_vs_baseline,latency_reduction_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8570,0.1482,0.1473,0.1489,0.1489,0.1489,0.1495,1.005,0.47,12.529,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",28.6176,0.1466,0.1457,0.1470,0.1466,0.1466,0.1479,1.000,0.01,195.191,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",112.0555,0.1804,0.1803,0.1860,0.1805,0.1800,0.1815,1.001,0.08,621.183,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5868,0.1703,0.1690,0.1712,0.1685,0.1680,0.1699,0.989,-1.09,9.317,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",32.8951,0.1742,0.1741,0.1753,0.1745,0.1734,0.1748,1.002,0.16,188.839,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1908.3958,0.5440,0.5341,0.5530,3.5068,3.5057,3.5094,6.447,84.49,3508.358,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7869,0.2317,0.2307,0.2332,0.8030,0.8019,0.8053,3.466,71.15,3.396,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.3363,0.2443,0.2441,0.2454,0.8233,0.8224,0.8262,3.370,70.32,9.562,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",2.9688,0.2462,0.2456,0.2484,0.8239,0.8235,0.8248,3.347,70.12,12.059,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7233,0.2948,0.2946,0.2958,0.2913,0.2899,0.2918,0.988,-1.20,2.453,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.1057,0.3060,0.3046,0.3070,0.3046,0.3045,0.3060,0.995,-0.48,10.149,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.2657,0.3111,0.3097,0.3112,0.3071,0.3071,0.3075,0.987,-1.31,20.140,FAIL,0.9957
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.2639,2.5449,2.5444,2.5508,2.8435,2.8379,2.8439,1.117,10.50,4.426,PASS,0.9895
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.4298,10.2542,10.2509,10.2616,12.5394,12.5317,12.5619,1.223,18.22,1.505,PASS,0.9954
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",30.6425,19.0692,19.0682,19.0751,22.1530,22.1389,22.1550,1.162,13.92,1.607,PASS,0.9942
