# timestamp_utc=2026-06-23 09:27:40Z
# command=python tools/run_benchmarks.py --out results/v3_baseline_v2 --repeat-runs 3 --baseline-ref baseline-v2^{}
# commit=da17f23f9be788c9dedea62f6d65b049c7cca6cd
# branch=rlcr/optimize-5-kernels
# describe=baseline-v2-5-gda17f23
# primary_baseline_ref=baseline-v2^{}
# primary_baseline_commit=08d4780
# baseline_v1_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
# sol_env=(defaults)
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline-v2_ms,baseline-v2_ms_min,baseline-v2_ms_max,candidate_vs_baseline-v2,latency_reduction_vs_baseline-v2_pct,baseline_v1_ms,candidate_vs_baseline_v1,latency_reduction_vs_baseline_v1_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8323,0.1088,0.1087,0.1099,0.1104,0.1086,0.1114,1.015,1.43,0.1457,1.339,25.31,16.840,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",28.1111,0.1048,0.1040,0.1055,0.1049,0.1034,0.1049,1.001,0.06,0.1443,1.377,27.36,268.137,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",110.9115,0.1402,0.1399,0.1423,0.1404,0.1401,0.1405,1.001,0.11,0.1834,1.308,23.53,790.987,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5555,0.1677,0.1671,0.1703,0.1688,0.1680,0.1700,1.006,0.64,0.1672,0.997,-0.31,9.275,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",32.2590,0.1748,0.1744,0.1754,0.1750,0.1743,0.1750,1.001,0.11,0.1746,0.999,-0.11,184.550,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1857.0378,0.5310,0.5308,0.5459,0.5381,0.5351,0.5414,1.013,1.32,3.4723,6.539,84.71,3497.194,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7912,0.2312,0.2302,0.2336,0.2308,0.2305,0.2336,0.998,-0.18,0.8031,3.473,71.21,3.422,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.3838,0.2441,0.2439,0.2459,0.2440,0.2438,0.2463,0.999,-0.06,0.8273,3.389,70.50,9.766,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",3.0173,0.2451,0.2451,0.2463,0.2450,0.2450,0.2452,1.000,-0.02,0.8262,3.371,70.34,12.313,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7329,0.2884,0.2882,0.2918,0.2870,0.2865,0.2882,0.995,-0.48,0.3042,1.055,5.19,2.541,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.1803,0.3053,0.3037,0.3053,0.3017,0.2982,0.3080,0.988,-1.17,0.3156,1.034,3.26,10.418,FAIL,0.9836
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.6082,0.3111,0.3015,0.3114,0.3180,0.3117,0.4935,1.022,2.17,0.3223,1.036,3.48,21.244,FAIL,0.9895
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.3078,2.5801,2.5757,2.6026,2.5848,2.5730,2.5958,1.002,0.18,2.8586,1.108,9.74,4.383,PASS,0.9911
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.8193,10.5463,10.5112,10.5563,10.5176,10.5126,10.5345,0.997,-0.27,12.6926,1.204,16.91,1.500,PASS,0.9953
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",31.0111,19.1648,19.1597,19.1936,19.1602,19.1372,19.2055,1.000,-0.02,22.2158,1.159,13.73,1.618,PASS,0.9942
