# timestamp_utc=2026-06-23 09:51:37Z
# command=python tools/run_benchmarks.py --out results/v3_round2_gdndecode --repeat-runs 3 --baseline-ref baseline-v2^{}
# commit=1813571c867e46281e1a55613b35781cf91b3fce
# branch=rlcr/optimize-5-kernels
# describe=baseline-v2-10-g1813571
# primary_baseline_ref=baseline-v2^{}
# primary_baseline_commit=08d4780
# baseline_v1_commit=74c0918
# dirty=no
# gpu=AMD Instinct MI300X
# device=cuda:0
# torch=2.9.1+rocm7.2.0.git7e1940d4
# hip=7.2.26015-fc0010cf6a
# triton=3.6.0+git42270451
# aiter=editable-source (/sgl-workspace/aiter/aiter@7d604afe5)
# dataset=/sgl-workspace/workspace/mlsys2026-flashinfer-contest/data/flashinfer-trace
# fib_cache=/tmp/fib_cache
# sol_env=(defaults)
kernel,axes,ref_ms,sol_ms,sol_ms_min,sol_ms_max,baseline_v2_ms,baseline_v2_ms_min,baseline_v2_ms_max,candidate_vs_baseline_v2,latency_reduction_vs_baseline_v2_pct,baseline_v1_ms,baseline_v1_ms_min,baseline_v1_ms_max,candidate_vs_baseline_v1,latency_reduction_vs_baseline_v1_pct,speedup_vs_ref,correctness,matched_ratio
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 1}",1.8582,0.1003,0.0998,0.1020,0.1092,0.1091,0.1094,1.089,8.13,0.1484,0.1472,0.1485,1.479,32.40,18.529,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 16}",27.3568,0.0965,0.0963,0.0981,0.1050,0.1049,0.1061,1.088,8.11,0.1436,0.1425,0.1441,1.488,32.78,283.491,PASS,1.0000
gdn_decode_qk4_v8_d128_k_last,"{'batch_size': 64}",107.8200,0.0895,0.0890,0.0921,0.1391,0.1390,0.1405,1.555,35.67,0.1828,0.1825,0.1833,2.042,51.03,1204.645,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 6, 'num_seqs': 1, 'len_cu_seqlens': 2}",1.5727,0.1704,0.1678,0.1708,0.1695,0.1684,0.1700,0.995,-0.54,0.1677,0.1668,0.1689,0.984,-1.63,9.228,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 139, 'num_seqs': 3, 'len_cu_seqlens': 4}",31.8038,0.1744,0.1743,0.1748,0.1746,0.1735,0.1747,1.001,0.11,0.1742,0.1740,0.1742,0.999,-0.14,182.364,PASS,1.0000
gdn_prefill_qk4_v8_d128_k_last,"{'total_seq_len': 8192, 'num_seqs': 39, 'len_cu_seqlens': 40}",1844.8052,0.5395,0.5331,0.5425,0.5409,0.5358,0.5436,1.003,0.26,3.5111,3.5076,3.5115,6.508,84.63,3419.421,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 1, 'num_pages': 8462}",0.7978,0.2315,0.2311,0.2336,0.2313,0.2306,0.2327,0.999,-0.10,0.8094,0.8071,0.8100,3.496,71.40,3.446,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 6, 'num_pages': 8462}",2.4151,0.2448,0.2445,0.2463,0.2452,0.2444,0.2468,1.001,0.14,0.8302,0.8294,0.8303,3.391,70.51,9.865,PASS,1.0000
dsa_sparse_attention_h16_ckv512_kpe64_topk2048_ps64,"{'num_tokens': 8, 'num_pages': 8462}",3.0672,0.2452,0.2446,0.2464,0.2450,0.2450,0.2451,0.999,-0.08,0.8290,0.8277,0.8294,3.381,70.42,12.508,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 1, 'max_num_pages': 1, 'num_pages': 11923}",0.7382,0.2930,0.2914,0.2957,0.2917,0.2915,0.2928,0.996,-0.44,0.3073,0.3062,0.3091,1.049,4.66,2.520,PASS,1.0000
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 14, 'max_num_pages': 40, 'num_pages': 11923}",3.2151,0.3090,0.3084,0.3105,0.3085,0.3054,0.3095,0.999,-0.14,0.3243,0.3239,0.3243,1.050,4.73,10.406,FAIL,0.9769
dsa_topk_indexer_fp8_h64_d128_topk2048_ps64,"{'batch_size': 31, 'max_num_pages': 43, 'num_pages': 11923}",6.5210,0.3139,0.3133,0.3152,0.3119,0.3102,0.3138,0.993,-0.66,0.3284,0.3265,0.3298,1.046,4.41,20.772,FAIL,0.9945
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 1}",11.3799,2.6538,2.6491,2.6554,2.6571,2.6514,2.6597,1.001,0.12,2.9386,2.9306,2.9485,1.107,9.69,4.288,PASS,0.9879
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 55}",15.6670,10.4503,10.4335,10.4628,10.4466,10.4367,10.4473,1.000,-0.04,12.6498,12.6498,12.6527,1.210,17.39,1.499,PASS,0.9953
moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,"{'seq_len': 14107}",30.9180,19.1714,19.1596,19.1789,19.1689,19.1573,19.1789,1.000,-0.01,22.2339,22.2287,22.2371,1.160,13.77,1.613,PASS,0.9942
